Date,Open,High,Low,Close,Adj Close,Volume,company_name
2018-07-11,17109.283203125,17325.85546875,16719.451171875,16979.337890625,16622.08984375,1851033,FPT
2018-07-12,16719.451171875,17174.25390625,16676.13671875,16806.080078125,16452.4765625,1778795,FPT
2018-07-13,17109.283203125,17672.373046875,17022.654296875,17585.744140625,17215.736328125,2448638,FPT
2018-07-16,17802.31640625,17975.576171875,17607.400390625,17715.6875,17342.943359375,1764365,FPT
2018-07-17,17629.05859375,18148.833984375,17564.0859375,18148.833984375,17766.978515625,3193973,FPT
2018-07-18,18192.1484375,18581.98046875,18148.833984375,18581.98046875,18191.009765625,2761373,FPT
2018-07-19,18278.77734375,18581.98046875,18278.77734375,18408.72265625,18021.3984375,1900392,FPT
2018-07-20,18322.091796875,18322.091796875,17867.2890625,18018.890625,17639.767578125,2471101,FPT
2018-07-23,18278.77734375,18495.3515625,18127.177734375,18192.1484375,17809.380859375,2566567,FPT
2018-07-24,18192.1484375,18387.064453125,17932.26171875,18278.77734375,17894.185546875,3275008,FPT
2018-07-25,18322.091796875,18971.8125,18278.77734375,18365.408203125,17978.99609375,3220684,FPT
2018-07-26,18495.3515625,18625.294921875,18235.462890625,18430.37890625,18042.59765625,1656804,FPT
2018-07-27,18581.98046875,19015.126953125,18430.37890625,18755.23828125,18360.623046875,2982452,FPT
2018-07-30,18798.552734375,18841.869140625,18711.923828125,18755.23828125,18360.623046875,2764005,FPT
2018-07-31,18755.23828125,18841.869140625,18538.666015625,18538.666015625,18148.607421875,3904473,FPT
2018-08-01,18495.3515625,18646.953125,18148.833984375,18192.1484375,17809.380859375,5613457,FPT
2018-08-02,18192.1484375,18495.3515625,18018.890625,18495.3515625,18106.205078125,1677744,FPT
2018-08-03,18625.294921875,18668.609375,18365.408203125,18452.037109375,18063.80078125,1726525,FPT
2018-08-06,18365.408203125,18495.3515625,18300.435546875,18300.435546875,17915.388671875,808107,FPT
2018-08-07,18322.091796875,18322.091796875,18083.861328125,18170.4921875,17788.1796875,1490971,FPT
2018-08-08,18170.4921875,18452.037109375,18148.833984375,18408.72265625,18021.3984375,1763881,FPT
2018-08-09,18625.294921875,18711.923828125,18430.37890625,18538.666015625,18148.607421875,2845961,FPT
2018-08-10,18538.666015625,18820.2109375,18495.3515625,18668.609375,18275.81640625,1840643,FPT
2018-08-13,18668.609375,18928.498046875,18668.609375,18820.2109375,18424.228515625,2478974,FPT
2018-08-14,18950.154296875,19210.04296875,18885.18359375,19188.384765625,18784.65625,3766184,FPT
2018-08-15,19188.384765625,19361.64453125,18928.498046875,18971.8125,18572.640625,3827987,FPT
2018-08-16,18581.98046875,18625.294921875,18387.064453125,18625.294921875,18233.4140625,3182706,FPT
2018-08-17,18711.923828125,18841.869140625,18625.294921875,18841.869140625,18445.4296875,2142576,FPT
2018-08-20,18841.869140625,19188.384765625,18690.267578125,18928.498046875,18530.23828125,2205416,FPT
2018-08-21,18885.18359375,18971.8125,18798.552734375,18928.498046875,18530.23828125,1979951,FPT
2018-08-22,18950.154296875,19188.384765625,18928.498046875,19080.099609375,18678.650390625,3312563,FPT
2018-08-23,19101.755859375,19275.015625,19101.755859375,19231.69921875,18827.05859375,2319951,FPT
2018-08-24,19231.69921875,19275.015625,19015.126953125,19253.357421875,18848.26171875,1453871,FPT
2018-08-27,19188.384765625,19275.015625,19145.0703125,19231.69921875,18827.05859375,2098433,FPT
2018-08-28,19188.384765625,19253.357421875,19080.099609375,19145.0703125,18742.25390625,2100256,FPT
2018-08-29,19123.4140625,19231.69921875,19036.78515625,19145.0703125,18742.25390625,4600096,FPT
2018-08-30,19145.0703125,19145.0703125,19036.78515625,19123.4140625,18721.052734375,1459480,FPT
2018-08-31,19123.4140625,19448.2734375,19101.755859375,19145.0703125,18742.25390625,2371667,FPT
2018-09-04,19101.755859375,19361.64453125,19058.44140625,19101.755859375,18699.849609375,1464629,FPT
2018-09-05,19080.099609375,19145.0703125,18625.294921875,18755.23828125,18360.623046875,2201236,FPT
2018-09-06,18668.609375,18755.23828125,18343.75,18343.75,17957.79296875,3570538,FPT
